english,portuguese,level,category,grammar_points
"I wake up early every weekday.","Eu acordo cedo todo dia de semana.",A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
"I brush my teeth after breakfast.","Eu escovo os dentes depois do café da manhã.",A1,daily_routine,"[""present simple"", ""time expressions""]"
"I take a shower in the morning.","Eu tomo banho de manhã.",A1,daily_routine,"[""present simple""]"
"I go to work by bus.","Eu vou para o trabalho de ônibus.",A1,transport,"[""present simple"", ""by + transport""]"
"I walk to the supermarket.","Eu vou a pé ao supermercado.",A1,transport,"[""present simple"", ""prepositions of place""]"
"I usually eat lunch at noon.","Eu normalmente almoço ao meio-dia.",A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
"I drink water every day.","Eu bebo água todos os dias.",A1,health,"[""present simple""]"
"I watch TV at night.","Eu assisto TV à noite.",A1,leisure,"[""present simple"", ""time expressions""]"
"I read the news on my phone.","Eu leio as notícias no meu celular.",A1,leisure,"[""present simple"", ""prepositions""]"
"I like to listen to music.","Eu gosto de ouvir música.",A1,leisure,"[""like + to-infinitive""]"
"I work from home on Fridays.","Eu trabalho de casa nas sextas-feiras.",A2,work,"[""present simple"", ""prepositions""]"
"I usually take the subway to the office.","Eu normalmente pego o metrô para o escritório.",A2,transport,"[""present simple"", ""frequency adverbs""]"
"I’m cooking dinner right now.","Eu estou cozinhando o jantar agora.",A2,food,"[""present continuous""]"
"I’m waiting for the bus.","Eu estou esperando o ônibus.",A2,transport,"[""present continuous""]"
"She is shopping for groceries.","Ela está comprando mantimentos.",A2,shopping,"[""present continuous""]"
"We are having coffee after work.","Nós estamos tomando café depois do trabalho.",A2,leisure,"[""present continuous"", ""time expressions""]"
"I have to clean the kitchen today.","Eu tenho que limpar a cozinha hoje.",A2,home,"[""have to""]"
"I need to buy bread and milk.","Eu preciso comprar pão e leite.",A2,shopping,"[""need to""]"
"Could you help me with the bags?","Você poderia me ajudar com as sacolas?",A2,shopping,"[""modal can/could"", ""polite requests""]"
"Let’s meet at the bus stop.","Vamos nos encontrar no ponto de ônibus.",A2,transport,"[""let's"", ""prepositions""]"
"It is sunny today.","Hoje está ensolarado.",A1,weather,"[""verb to be"", ""weather expressions""]"
"It is raining a lot.","Está chovendo bastante.",A1,weather,"[""present continuous"", ""weather expressions""]"
"I take the dog for a walk in the evening.","Eu levo o cachorro para passear à noite.",A2,daily_routine,"[""present simple"", ""time expressions""]"
"I buy vegetables at the street market.","Eu compro verduras na feira.",A2,shopping,"[""present simple"", ""prepositions""]"
