english;ipa;portuguese;level;tags
be;;ser, estar;A1;verb
have;;ter;A1;verb
do;;fazer;A1;verb
go;;ir;A1;verb
come;;vir;A1;verb
make;;fazer, criar;A1;verb
take;;pegar, levar;A1;verb
get;;conseguir, obter;A1;verb
give;;dar;A1;verb
want;;querer;A1;verb
need;;precisar;A1;verb
like;;gostar;A1;verb
love;;amar;A1;verb
know;;saber, conhecer;A1;verb
think;;pensar;A1;verb
see;;ver;A1;verb
hear;;ouvir;A1;verb
say;;dizer;A1;verb
speak;;falar;A1;verb
read;;ler;A1;verb
write;;escrever;A1;verb
eat;;comer;A1;verb
drink;;beber;A1;verb
sleep;;dormir;A1;verb
wake;;acordar;A1;verb
work;;trabalhar;A1;verb
study;;estudar;A1;verb
play;;brincar, jogar;A1;verb
live;;viver, morar;A1;verb
open;;abrir;A1;verb
close;;fechar;A1;verb
buy;;comprar;A1;verb
sell;;vender;A1;verb
pay;;pagar;A1;verb
help;;ajudar;A1;verb
call;;ligar, chamar;A1;verb
wait;;esperar;A1;verb
start;;começar;A1;verb
stop;;parar;A1;verb
walk;;caminhar;A1;verb
run;;correr;A1;verb
sit;;sentar;A1;verb
stand;;ficar em pé;A1;verb
bring;;trazer;A1;verb
leave;;sair, deixar;A1;verb
put;;colocar;A1;verb
find;;encontrar;A1;verb
look;;olhar;A1;verb
listen;;escutar;A1;verb
ask;;perguntar;A1;verb
answer;;responder;A1;verb
show;;mostrar;A1;verb
use;;usar;A1;verb
try;;tentar;A1;verb
learn;;aprender;A1;verb
remember;;lembrar;A1;verb
forget;;esquecer;A1;verb
cook;;cozinhar;A1;verb
clean;;limpar;A1;verb
wash;;lavar;A1;verb
watch;;assistir;A1;verb
visit;;visitar;A1;verb
travel;;viajar;A2;verb
arrive;;chegar;A2;verb
choose;;escolher;A2;verb
change;;mudar, trocar;A2;verb
explain;;explicar;A2;verb
invite;;convidar;A2;verb
enjoy;;aproveitar, gostar;A2;verb
plan;;planejar;A2;verb
decide;;decidir;A2;verb
agree;;concordar;A2;verb
improve;;melhorar;B1;verb
increase;;aumentar;B1;verb
reduce;;reduzir;B1;verb
suggest;;sugerir;B1;verb
recommend;;recomendar;B1;verb
avoid;;evitar;B1;verb
allow;;permitir;B1;verb
accept;;aceitar;B1;verb
refuse;;recusar;B1;verb
prevent;;prevenir;B1;verb
support;;apoiar;B1;verb
develop;;desenvolver;B1;verb
compare;;comparar;B1;verb
prepare;;preparar;B1;verb
protect;;proteger;B1;verb
analyze;;analisar;B2;verb
evaluate;;avaliar;B2;verb
negotiate;;negociar;B2;verb
emphasize;;enfatizar;B2;verb
justify;;justificar;B2;verb
contribute;;contribuir;B2;verb
maintain;;manter;B2;verb
persuade;;persuadir;B2;verb
assume;;assumir, presumir;B2;verb
define;;definir;B2;verb
implement;;implementar;B2;verb
optimize;;otimizar;B2;verb
facilitate;;facilitar;C1;verb
anticipate;;antecipar;C1;verb
consolidate;;consolidar;C1;verb
mitigate;;mitigar;C1;verb
comply;;cumprir;C1;verb
assess;;avaliar;C1;verb
allocate;;alocar, destinar;C1;verb
leverage;;aproveitar, potencializar;C1;verb
articulate;;articular, expressar;C1;verb
scrutinize;;examinar cuidadosamente;C1;verb
conceptualize;;conceitualizar;C2;verb
elucidate;;elucidar;C2;verb
extrapolate;;extrapolar;C2;verb
corroborate;;corroborar;C2;verb
reconcile;;reconciliar;C2;verb
juxtapose;;justapor;C2;verb
substantiate;;fundamentar, comprovar;C2;verb
disseminate;;disseminar;C2;verb
synthesize;;sintetizar;C2;verb
underscore;;ressaltar;C2;verb
man;;homem;A1;people
woman;;mulher;A1;people
boy;;menino;A1;people
girl;;menina;A1;people
child;;criança;A1;people
baby;;bebê;A1;people
friend;;amigo;A1;people
family;;família;A1;people
mother;;mãe;A1;people
father;;pai;A1;people
sister;;irmã;A1;people
brother;;irmão;A1;people
teacher;;professor;A1;people
student;;estudante;A1;people
doctor;;médico;A1;people
nurse;;enfermeiro;A1;people
police;;polícia;A2;people
manager;;gerente;B1;work
colleague;;colega;B1;work
customer;;cliente;B1;work
home;;casa, lar;A1;place
house;;casa;A1;place
room;;quarto, cômodo;A1;place
kitchen;;cozinha;A1;place
bathroom;;banheiro;A1;place
school;;escola;A1;place
office;;escritório;A1;place
hospital;;hospital;A1;place
store;;loja;A1;place
market;;mercado;A1;place
bank;;banco;A1;place
street;;rua;A1;place
city;;cidade;A1;place
country;;país;A1;place
hotel;;hotel;A2;travel
airport;;aeroporto;A2;travel
station;;estação;A2;travel
ticket;;bilhete, passagem;A2;travel
passport;;passaporte;A2;travel
luggage;;bagagem;A2;travel
map;;mapa;A2;travel
museum;;museu;A2;place
restaurant;;restaurante;A2;place
park;;parque;A2;place
beach;;praia;A2;place
bridge;;ponte;A2;place
time;;tempo;A1;time
day;;dia;A1;time
week;;semana;A1;time
month;;mês;A1;time
year;;ano;A1;time
morning;;manhã;A1;time
afternoon;;tarde;A1;time
