english,portuguese,level,category,grammar_points
I go to the grocery store at 1:00 p.m. on Wednesday.,Eu vou à mercado às 13:00 na quarta-feira.,A1,shopping,"[""present simple""]"
Do you like soup?,Você gosta de sopa?,A1,conversation,"[""present simple questions""]"
I go to the clothing store at 5:00 p.m. on Wednesday.,Eu vou à loja de roupas às 17:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the drugstore at 3:00 p.m. on Monday.,Eu vou à farmácia às 15:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I pay with debit card at the bookstore.,Eu pago com cartão de débito na livraria.,A1,shopping,"[""present simple""]"
The grocery store is expensive tonight.,A mercado está caro hoje à noite.,A1,shopping,"[""verb to be""]"
I go to the drugstore at 1:00 p.m. on Friday.,Eu vou à farmácia às 13:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I need medicine for breakfast.,Eu preciso de remédio para o café da manhã.,A1,daily_routine,"[""present simple""]"
I go to the clothing store at 3:00 p.m. on Sunday.,Eu vou à loja de roupas às 15:00 na domingo.,A1,shopping,"[""present simple""]"
The bookstore is cheap tonight.,A livraria está barato hoje à noite.,A1,shopping,"[""verb to be""]"
The clothing store is expensive this morning.,A loja de roupas está caro hoje de manhã.,A1,shopping,"[""verb to be""]"
I go to the clothing store at 7:00 a.m. on Friday.,Eu vou à loja de roupas às 7:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the gas station at 3:00 p.m. on Thursday.,Eu vou à posto de gasolina às 15:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at 7:00 p.m. on Friday.,Eu vou à livraria às 19:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the clothing store at noon on Sunday.,Eu vou à loja de roupas às meio-dia na domingo.,A1,shopping,"[""present simple""]"
I go to the drugstore at 5:00 p.m. on Saturday.,Eu vou à farmácia às 17:00 na sábado.,A1,shopping,"[""present simple""]"
The bookstore is clean tonight.,A livraria está limpo hoje à noite.,A1,shopping,"[""verb to be""]"
I wake up at 6:00 a.m..,Eu acordo às 6:00.,A1,daily_routine,"[""present simple""]"
I go to the bookstore at 5:00 p.m. on Tuesday.,Eu vou à livraria às 17:00 na terça-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at 7:00 a.m. on Monday.,Eu vou à livraria às 7:00 na segunda-feira.,A1,shopping,"[""present simple""]"
The bakery is expensive this morning.,A padaria está caro hoje de manhã.,A1,shopping,"[""verb to be""]"
I go to the coffee shop at 10:00 a.m. on Sunday.,Eu vou à cafeteria às 10:00 na domingo.,A1,shopping,"[""present simple""]"
Is it sunny tonight?,Está ensolarado hoje à noite?,A1,weather,"[""verb to be""]"
I want a water and a rice and beans.,Eu quero um água e arroz e feijão.,A1,food,"[""present simple""]"
The bakery is cheap tonight.,A padaria está barato hoje à noite.,A1,shopping,"[""verb to be""]"
I buy eggs at the bookstore.,Eu compro ovos na livraria.,A1,shopping,"[""present simple""]"
I go to the drugstore at 7:00 a.m. on Saturday.,Eu vou à farmácia às 7:00 na sábado.,A1,shopping,"[""present simple""]"
I go grocery shopping once a month.,Eu fazer compras uma vez por mês.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the drugstore at 3:00 p.m. on Friday.,Eu vou à farmácia às 15:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the gas station at 9:00 a.m. on Thursday.,Eu vou à posto de gasolina às 9:00 na quinta-feira.,A1,shopping,"[""present simple""]"
The grocery store is busy this afternoon.,A mercado está movimentado hoje à tarde.,A1,shopping,"[""verb to be""]"
The bookstore is expensive this morning.,A livraria está caro hoje de manhã.,A1,shopping,"[""verb to be""]"
I take out the trash after lunch.,Eu tirar o lixo depois do almoço.,A1,home,"[""present simple""]"
I go to the coffee shop at 8:00 a.m. on Sunday.,Eu vou à cafeteria às 8:00 na domingo.,A1,shopping,"[""present simple""]"
The drugstore is expensive tonight.,A farmácia está caro hoje à noite.,A1,shopping,"[""verb to be""]"
I go to work by car.,Eu vou para o trabalho de carro.,A1,transport,"[""present simple"", ""by + transport""]"
I go to the gas station at 7:00 a.m. on Tuesday.,Eu vou à posto de gasolina às 7:00 na terça-feira.,A1,shopping,"[""present simple""]"
I go to the gas station at 6:00 a.m. on Saturday.,Eu vou à posto de gasolina às 6:00 na sábado.,A1,shopping,"[""present simple""]"
Do you go to the office by subway?,Você vai ao o escritório de metrô?,A1,conversation,"[""present simple questions""]"
Do you go to the pharmacy by train?,Você vai ao a farmácia de trem?,A1,conversation,"[""present simple questions""]"
I go to the park on Tuesday.,Eu vou ao o parque na terça-feira.,A1,transport,"[""present simple""]"
Do you go to the post office by car?,Você vai ao os correios de carro?,A1,conversation,"[""present simple questions""]"
I go to the pharmacy on Thursday.,Eu vou ao a farmácia na quinta-feira.,A1,transport,"[""present simple""]"
I need toothpaste for a late snack.,Eu preciso de pasta de dente para o um lanche tarde.,A1,daily_routine,"[""present simple""]"
I go to the grocery store at 5:00 p.m. on Wednesday.,Eu vou à mercado às 17:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I work out on weekends.,Eu treinar nos fins de semana.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
Do you go to the bank by walk?,Você vai ao o banco de a pé?,A1,conversation,"[""present simple questions""]"
I go to the grocery store at noon on Friday.,Eu vou à mercado às meio-dia na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the bakery at 9:00 a.m. on Monday.,Eu vou à padaria às 9:00 na segunda-feira.,A1,shopping,"[""present simple""]"
The gas station is quiet this morning.,A posto de gasolina está tranquilo hoje de manhã.,A1,shopping,"[""verb to be""]"
I go to the bookstore at 5:00 p.m. on Thursday.,Eu vou à livraria às 17:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the clothing store at 8:00 p.m. on Thursday.,Eu vou à loja de roupas às 20:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the grocery store at 10:00 a.m. on Thursday.,Eu vou à mercado às 10:00 na quinta-feira.,A1,shopping,"[""present simple""]"
Do you like pizza?,Você gosta de pizza?,A1,conversation,"[""present simple questions""]"
I go to the gym on Thursday.,Eu vou ao a academia na quinta-feira.,A1,transport,"[""present simple""]"
I go to the hardware store at 7:00 p.m. on Sunday.,Eu vou à loja de ferragens às 19:00 na domingo.,A1,shopping,"[""present simple""]"
I go to downtown on Thursday.,Eu vou ao o centro na quinta-feira.,A1,transport,"[""present simple""]"
Is it cloudy this morning?,Está nublado hoje de manhã?,A1,weather,"[""verb to be""]"
I go to the drugstore at 7:00 p.m. on Tuesday.,Eu vou à farmácia às 19:00 na terça-feira.,A1,shopping,"[""present simple""]"
I go to the grocery store at 7:00 p.m. on Tuesday.,Eu vou à mercado às 19:00 na terça-feira.,A1,shopping,"[""present simple""]"
I go to the grocery store at noon on Sunday.,Eu vou à mercado às meio-dia na domingo.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 8:00 a.m. on Monday.,Eu vou à cafeteria às 8:00 na segunda-feira.,A1,shopping,"[""present simple""]"
What time do you wake up on Saturday?,Que horas você acorda na sábado?,A1,daily_routine,"[""present simple"", ""time expressions""]"
I clean the kitchen after a late snack.,Eu limpar a cozinha depois do um lanche tarde.,A1,home,"[""present simple""]"
I go to the hardware store at noon on Sunday.,Eu vou à loja de ferragens às meio-dia na domingo.,A1,shopping,"[""present simple""]"
I drink water this afternoon.,Eu bebo água hoje à tarde.,A1,daily_routine,"[""present simple""]"
I need toothpaste for breakfast.,Eu preciso de pasta de dente para o café da manhã.,A1,daily_routine,"[""present simple""]"
Do you go to the pharmacy by subway?,Você vai ao a farmácia de metrô?,A1,conversation,"[""present simple questions""]"
I go for a walk twice a week.,Eu fazer uma caminhada duas vezes por semana.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the pharmacy on Saturday.,Eu vou ao a farmácia na sábado.,A1,transport,"[""present simple""]"
The grocery store is expensive this afternoon.,A mercado está caro hoje à tarde.,A1,shopping,"[""verb to be""]"
I pay with mobile payment at the hardware store.,Eu pago com pagamento por celular na loja de ferragens.,A1,shopping,"[""present simple""]"
The gas station is busy this afternoon.,A posto de gasolina está movimentado hoje à tarde.,A1,shopping,"[""verb to be""]"
I go to the hardware store at 7:00 p.m. on Friday.,Eu vou à loja de ferragens às 19:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 3:00 p.m. on Tuesday.,Eu vou à cafeteria às 15:00 na terça-feira.,A1,shopping,"[""present simple""]"
Do you go to the gym by car?,Você vai ao a academia de carro?,A1,conversation,"[""present simple questions""]"
I pay with cash at the bookstore.,Eu pago com dinheiro na livraria.,A1,shopping,"[""present simple""]"
I go to the clothing store at 9:00 a.m. on Monday.,Eu vou à loja de roupas às 9:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I buy batteries at the drugstore.,Eu compro pilhas na farmácia.,A1,shopping,"[""present simple""]"
I buy paper towels at the bakery.,Eu compro papel toalha na padaria.,A1,shopping,"[""present simple""]"
I go to the bakery at 8:00 p.m. on Wednesday.,Eu vou à padaria às 20:00 na quarta-feira.,A1,shopping,"[""present simple""]"
The gas station is cheap tonight.,A posto de gasolina está barato hoje à noite.,A1,shopping,"[""verb to be""]"
I go to the gas station at 8:00 a.m. on Sunday.,Eu vou à posto de gasolina às 8:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the hardware store at 6:00 a.m. on Thursday.,Eu vou à loja de ferragens às 6:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I study English twice a week.,Eu estudar inglês duas vezes por semana.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the bookstore at noon on Tuesday.,Eu vou à livraria às meio-dia na terça-feira.,A1,shopping,"[""present simple""]"
Do you go to the mall by bus?,Você vai ao o shopping de ônibus?,A1,conversation,"[""present simple questions""]"
The bookstore is clean this morning.,A livraria está limpo hoje de manhã.,A1,shopping,"[""verb to be""]"
I eat breakfast at 6:00 a.m..,Eu faço café da manhã às 6:00.,A1,daily_routine,"[""present simple""]"
I watch a movie every day.,Eu assistir a um filme todos os dias.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I read a book once a month.,Eu ler um livro uma vez por mês.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the drugstore at 3:00 p.m. on Thursday.,Eu vou à farmácia às 15:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I read a book on weekdays.,Eu ler um livro nos dias úteis.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I want a tea and a pizza.,Eu quero um chá e pizza.,A1,food,"[""present simple""]"
I go to the bookstore at 7:00 p.m. on Wednesday.,Eu vou à livraria às 19:00 na quarta-feira.,A1,shopping,"[""present simple""]"
Do you go to the gym by subway?,Você vai ao a academia de metrô?,A1,conversation,"[""present simple questions""]"
I mop the floor after dinner.,Eu passar pano no chão depois do jantar.,A1,home,"[""present simple""]"
Do you go to the mall by ride-share?,Você vai ao o shopping de carro por aplicativo?,A1,conversation,"[""present simple questions""]"
I wake up at 1:00 p.m..,Eu acordo às 13:00.,A1,daily_routine,"[""present simple""]"
Do you like salad?,Você gosta de salada?,A1,conversation,"[""present simple questions""]"
I need tickets for dinner.,Eu preciso de ingressos para o jantar.,A1,daily_routine,"[""present simple""]"
I eat a late snack at 8:00 a.m..,Eu faço um lanche tarde às 8:00.,A1,daily_routine,"[""present simple""]"
I go to the gas station at 3:00 p.m. on Sunday.,Eu vou à posto de gasolina às 15:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the bookstore at 7:00 a.m. on Saturday.,Eu vou à livraria às 7:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the grocery store at noon on Tuesday.,Eu vou à mercado às meio-dia na terça-feira.,A1,shopping,"[""present simple""]"
I go to the hardware store at 9:00 a.m. on Saturday.,Eu vou à loja de ferragens às 9:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the bookstore at 6:00 a.m. on Thursday.,Eu vou à livraria às 6:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I study English on weekdays.,Eu estudar inglês nos dias úteis.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the the mall with my sister.,Eu vou ao o shopping com minha irmã.,A1,leisure,"[""present simple""]"
I wake up at 8:00 a.m..,Eu acordo às 8:00.,A1,daily_routine,"[""present simple""]"
Do you go to the office by ride-share?,Você vai ao o escritório de carro por aplicativo?,A1,conversation,"[""present simple questions""]"
I want a tea and a pasta.,Eu quero um chá e macarrão.,A1,food,"[""present simple""]"
I visit family every day.,Eu visitar a família todos os dias.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I eat lunch at 6:00 a.m..,Eu faço almoço às 6:00.,A1,daily_routine,"[""present simple""]"
The bookstore is quiet this morning.,A livraria está tranquilo hoje de manhã.,A1,shopping,"[""verb to be""]"
I go to the bookstore at noon on Wednesday.,Eu vou à livraria às meio-dia na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the clothing store at 5:00 p.m. on Saturday.,Eu vou à loja de roupas às 17:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the gas station at 9:00 a.m. on Monday.,Eu vou à posto de gasolina às 9:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I wake up at 3:00 p.m..,Eu acordo às 15:00.,A1,daily_routine,"[""present simple""]"
I go to the clothing store at 3:00 p.m. on Thursday.,Eu vou à loja de roupas às 15:00 na quinta-feira.,A1,shopping,"[""present simple""]"
Is the coffee shop open today?,A cafeteria está aberta hoje?,A1,conversation,"[""present simple questions""]"
I go to the bookstore at 6:00 a.m. on Sunday.,Eu vou à livraria às 6:00 na domingo.,A1,shopping,"[""present simple""]"
The hardware store is quiet this morning.,A loja de ferragens está tranquilo hoje de manhã.,A1,shopping,"[""verb to be""]"
