source_line,kept_tokens,reason
Argentinean,argentinean,kept
a. m. (ante meridian),,note/abbrev
accustom,accustom,kept
acesso,acesso,kept
acima,acima,kept
africa,africa,kept
african,african,kept
afterward(s),afterward|afterwards,kept
agir em favor,,multi-word phrase
airplane/plane,airplane|plane,kept
amador,amador,kept
america,america,kept
american,american,kept
american english,,multi-word phrase
antes do meio-dia,,multi-word phrase
april,april,kept
arabia,arabia,kept
arabian,arabian,kept
argentina,argentina,kept
argumentar,argumentar,kept
arrepio,arrepio,kept
arrumar,arrumar,kept
asia,asia,kept
asian,asian,kept
australia,australia,kept
australian,australian,kept
bater de leve,,multi-word phrase
be,be,kept
behalf,behalf,kept
bicicleta,bicicleta,kept
brazilian,brazilian,kept
british,british,kept
brute force,,multi-word phrase
caloria,caloria,kept
camelo,camelo,kept
caminho,caminho,kept
canada,canada,kept
canadian,canadian,kept
cansado,cansado,kept
cavalgar,cavalgar,kept
check-out,check-out,kept
chinese,chinese,kept
christmas,christmas,kept
colocar em desvantagem,,multi-word phrase
combinar,combinar,kept
como english file e headway.,,multi-word phrase
completamente,completamente,kept
compor,compor,kept
compreender,compreender,kept
compromisso,compromisso,kept
computador,computador,kept
computar,computar,kept
conceito,conceito,kept
considerar,considerar,kept
contexto,contexto,kept
continente,continente,kept
continuar,continuar,kept
contratuais,contratuais,kept
controle,controle,kept
correio,correio,kept
couro,couro,kept
cunhado,cunhado,kept
de produto,,multi-word phrase
december,december,kept
depender,depender,kept
deprimente,deprimente,kept
deprimir,deprimir,kept
desligado,desligado,kept
dicas para aprender os sons do ipa,,multi-word phrase
dictionary e longman pronunciation dictionary.,,multi-word phrase
dinamite,dinamite,kept
disputar,disputar,kept
distrito,distrito,kept
dizer,dizer,kept
dose,dose,kept
double bed,,multi-word phrase
e-book,e-book,kept
e-book reader,,multi-word phrase
egypt,egypt,kept
egyptian,egyptian,kept
em dinheiro,,multi-word phrase
emocionante,emocionante,kept
empolgante,empolgante,kept
encorajamento,encorajamento,kept
england,england,kept
entusiasmo,entusiasmo,kept
enviar email,,multi-word phrase
equipamento,equipamento,kept
escola particular,,multi-word phrase
estar perplexo,,multi-word phrase
etc. (et cetera),,note/abbrev
eu,eu,kept
europe,europe,kept
european,european,kept
every,every,kept
exportar,exportar,kept
fachada,fachada,kept
fahrenheit,fahrenheit,kept
falecimento,falecimento,kept
falta de,,multi-word phrase
february,february,kept
flap,flap,kept
flower shop,,multi-word phrase
for,for,kept
forma do subjuntivo de be,,multi-word phrase
france,france,kept
friday,friday,kept
gabar-se,gabar-se,kept
gerenciamento,gerenciamento,kept
germany,germany,kept
greece,greece,kept
hierarquizar,hierarquizar,kept
home office,,multi-word phrase
honesto,honesto,kept
honra,honra,kept
iludir,iludir,kept
inconstante,inconstante,kept
independente,independente,kept
independente do status marital,,multi-word phrase
india,india,kept
indian,indian,kept
internacional,internacional,kept
interpretar,interpretar,kept
interromper,interromper,kept
intervalo,intervalo,kept
investigar,investigar,kept
ipa,ipa,kept
is,is,kept
italian,italian,kept
italy,italy,kept
january,january,kept
japanese,japanese,kept
july,july,kept
june,june,kept
labareda,labareda,kept
labor union -,,multi-word phrase
lanterna,lanterna,kept
last name -,,multi-word phrase
latin,latin,kept
letra f,,multi-word phrase
letra g,,multi-word phrase
letra h,,multi-word phrase
letra i,,multi-word phrase
letra j,,multi-word phrase
letra k,,multi-word phrase
letra l,,multi-word phrase
letra m,,multi-word phrase
letra n,,multi-word phrase
letra p,,multi-word phrase
letra r,,multi-word phrase
letra s,,multi-word phrase
letra u,,multi-word phrase
letra v,,multi-word phrase
letra w,,multi-word phrase
letra x,,multi-word phrase
levado,levado,kept
lives,lives,kept
localizar,localizar,kept
look,look,kept
lua de mel,,multi-word phrase
maluco,maluco,kept
marido,marido,kept
martelo,martelo,kept
mel,mel,kept
mencionar,mencionar,kept
menor gravidade,,multi-word phrase
mesmos(as),mesmos|mesmosas,kept
metropolitano,metropolitano,kept
mexican,mexican,kept
mobile phone -,,multi-word phrase
monday,monday,kept
motivo,motivo,kept
motocicleta,motocicleta,kept
motorizado,motorizado,kept
movie theater -,,multi-word phrase
movimento,movimento,kept
mrs.,mrs,kept
narrow-,,rejected
net,net,kept
nivelado,nivelado,kept
nora,nora,kept
november,november,kept
o oxford english dictionary (oed),,multi-word phrase
october,october,kept
old-,,rejected
ordenar,ordenar,kept
our,our,kept
p. m. (post,,multi-word phrase
palavra,palavra,kept
palavra em,,multi-word phrase
para lecionar ou pesquisar em universidade,,multi-word phrase
para-brisa,para-brisa,kept
partes menores,,multi-word phrase
partida,partida,kept
passado de come,,multi-word phrase
passado de drink,,multi-word phrase
passado de have,,multi-word phrase
passado de withdraw,,multi-word phrase
passatempo,passatempo,kept
perturbar,perturbar,kept
pesquisador,pesquisador,kept
pessoa que pratica um esporte muito mal,,multi-word phrase
pessoa viciada em trabalho,,multi-word phrase
phase,phase,kept
pneu,pneu,kept
portugal,portugal,kept
portuguese,portuguese,kept
postar,postar,kept
precipitado,precipitado,kept
prefeitura,prefeitura,kept
