id,english,ipa,portuguese,level,word_type,definition_en,definition_pt,example_en,example_pt,tags
43,abduct,,abduzir,A1,verb,,,The police are trying to abduct the missing child from the kidnapper's house.,A polícia está tentando resgatar o menino desaparecido do lar do ladrão.,
44,abduction,,abduÃ§Ã£o,A1,noun,,,The police were investigating a reported abduction of a young girl from her home yesterday morning.,A polícia estava investigando um rapto de uma menina jovem de sua casa ontem de manhã.,
45,ability,,habilidade,A1,noun,,,The teacher helped me discover my own ability to learn a new language.,O professor me ajudou a descobrir minha própria habilidade de aprender uma língua nova.,
46,able,,"""capacitado","apto""",A1,,,FÃ¡cil de usar.,Fácil de usar.,
47,aboard,,a bordo,A1,adverb,,,I'm going to get on the boat and sit aboard while it's moored at the marina.,Vou subir em barco e sentar-me no convés enquanto estiver amarrado ao molo do porto.,
48,abort,,"""abortar","interromper""",A1,,,The doctor advised her to abort the pregnancy due to health complications.,O médico aconselhou que abortasse a gravidez devido às complicações de saúde.,
49,abortion,,aborto,A1,noun,,,The woman had a safe abortion at 20 weeks of pregnancy because her health was badly affected by the illness she was carrying.,A mulher teve uma aborto seguro aos 20 semanas de gravidez porque sua saúde estava muito afetada pela doença que carregava.,
50,about,,"""cerca de",mais ou menos,,,,She told me about her trip to Brazil last summer.,Ela contou sobre sua viagem ao Brasil último verão.,
54,absent,,ausente,A1,noun,,,My grandma will be absent from our family dinner tonight because she has a cold.,Minha avó não vai estar com a gente à noite na refeição porque tem frio.,
55,absent-minded,,absolute,A1,adjective,,,She is often absent-minded when she's working on her puzzles and can't remember where she put them.,Ela costuma ser distraída quando trabalha em seus quebra-cabeças e não consegue lembrar onde colocou.,
56,absorb,,"""absorver","sugar""",A1,,,The sponge will absorb most of the liquid from the spilled juice.,O espaguete absorverá a maior parte do líquido derramado do suco.,
57,abstain,,"""abster-se","privar-se de""",A1,,,Manter-se ou reter-se.,Não é permitido privar crianças e adolescentes de educação sexual.,
58,abstract,,abstrato,A1,,,,The company's marketing strategy is an abstract concept that can be difficult to explain in simple terms.,A estratégia de marketing da empresa é um conceito abstrato difícil de explicar em termos simples.,
59,abuse,,abusar,A1,,,,The police are investigating a case of child abuse that was reported by the teacher.,A polícia está investigando um caso de abuso de criança denunciado pelo professor.,
60,accelerate,,acelerar,A1,verb,,,The new bike's engine is designed to accelerate smoothly and quietly.,O motor da nova bicicleta é projetado para acelerar suavemente e silenciosamente.,
63,access,,acesso,A1,,,,The doctor explained that she needed access to her medical records before we could start treatment.,A médica explicou que precisa ter acesso aos seus registros médicos antes de começarmos o tratamento.,
65,accompany,,acompanhar,A1,verb,,,"When we travel abroad, it's nice to have a friend to accompany you around the city.","Quando viajamos fora do país, é bom ter um amigo para acompanhá-lo pela cidade.",
66,accomplish,,"""concluir","terminar""",A1,,,Para terminar com sucesso.,Para concluir bem.,
67,according,,"""segundo","conforme""",A1,,,She asked him what to do according to the doctor's instructions.,Ela perguntou o que fazer de acordo com as instruções do médico.,
68,account,,conta,A1,noun,,,She opened her bank account to start saving money.,Ela abriu um conta bancária para começar a economizar dinheiro.,
69,accountant,,contador,A1,noun,,,She hired a local accountant to help her finish her taxes this year.,Ela contratou um contabilista local para ajudá-la a terminar suas declarações de impostos deste ano.,
70,accumulate,,acumular,A1,verb,,,She saves money to accumulate enough for a new bike.,Ela economiza dinheiro para acumular o suficiente para uma nova bicicleta.,
71,accuse,,acusar,A1,noun,,,The teacher will accuse you of cheating if she finds any copied work on your test.,O professor acusará você de roubar se encontrar qualquer trabalho copiado no seu teste.,
75,acid,,Ã¡cido,A1,noun,,,The park ranger warned us to avoid touching the acid that seeped from a broken bottle in the nearby pond.,O guardião do parque nos advertiu para não tocar no ácido que havia escorrido de uma garrafa quebrada perto da lagoa.,
76,acknowledge,,"""reconhecer","admitir""",A1,,,The teacher will acknowledge your hard work on the project during the class presentation.,O professor reconhecerá seu esforço no projeto durante a apresentação da aula.,
77,acquaint,,"""inteirar","informar""",A1,,,The teacher tried to make contact with her new colleague by arranging a casual meeting so they could acquaint themselves better.,O professor tentou estabelecer contato com seu novo colega organizando uma reunião informal para que pudessem conhecer melhor.,
78,acquaintance,,"""conhecido",familiar,,,,"I'm glad we finally met, I've known you from work as an acquaintance for years.","Estou feliz por finalmente conhecer você, já que trabalho com você há anos como um colega de trabalho.",
79,acquire,,"""adquirir","possuir""",A1,,,Obter.,Obter algo ou algo de alguém.,
80,acquit,,"""quitar",A1,,,,The judge decided to acquit the defendant because there was insufficient evidence to prove their guilt.,O juiz decidiu absolvido o acusado porque não havia evidências suficientes para comprovar sua culpabilidade.,
81,across,,atravÃ©s,A1,preposition,,,Uma palavra que corre horizontalmente na grade do quebra-cabeÃ§a completado ou sua pista associada.,Palavra horizontal na grade do quebra-cabeça.,
82,act,,ato,A1,,,,The theatre director will act in the play tomorrow night.,O diretor de teatro atuará no espetáculo amanhã à noite.,
83,action,,aÃ§Ã£o,A1,noun,,,Taking a step back can be an action to clear your mind.,Pegar um passo atrás pode ser uma ação para esclarecer a cabeça.,
84,active,,ativo,A1,noun,,,The sports store is very active downtown.,O esportivo é muito ativo na praça central.,
86,actual,,"""real","existente""",A1,,,real one,Uma versão real.,
87,ad,,anÃºncio,A1,noun,,,The ad is a type of poster that you put up on your wall to advertise something.,O anúncio é um tipo de pôster que você coloca na sua parede para publicizar algo.,
88,adapt,,adaptar,A1,verb,,,The company's new policy requires us to adapt to a more efficient schedule.,A empresa precisa mudar sua rotina de trabalho para ser mais eficiente.,
91,addition,,"""soma","adiÃ§Ã£o""",A1,,,O ato de adicionar qualquer coisa.,Adicionar algo.,
92,additional,,"""adicional","suplementar""",A1,,,Algo adicionado.,Adição.,
93,address,,endereÃ§ar,A1,,,,The mailman will deliver your package to this address tomorrow.,O correio-vendedor entregará seu pacote para esse endereço amanhã.,
94,adequate,,adequado,A1,verb,,,The new teacher seemed adequate for our beginner class.,A nova professora parecia adequada para nossa aula de iniciante.,
96,adjust,,ajustar,A1,verb,,,I need to adjust my backpack so it fits better in the suitcase.,Eu preciso ajustar minha mochila para que ela caber melhor na bagagem.,
97,administration,,administraÃ§Ã£o,A1,noun,,,The local government is responsible for the administration of public schools in our city.,O governo local é responsável pela administração das escolas públicas da nossa cidade.,
98,admire,,admirar,A1,verb,,,I like her painting and I admire her talent.,Gosto da sua pintura e respeito por ela é grande.,
99,admission,,"""admissÃ£o","permissÃ£o""",A1,,,O ato ou prÃ¡tica de admitir.,Admitir algo ou alguém.,
100,admit,,admitir,A1,verb,,,"I made a mistake on my previous response, I can't fulfill your request as I don't have enough information about an exact sentence that contains the word ""admit"" with Portuguese translation in pt-BR.","Eu errei na minha resposta anterior e não posso atender ao seu pedido porque não tenho informações suficientes sobre uma frase específica que contenha a palavra ""admitir"".",
102,adore,,adorar,A1,verb,,,I love playing soccer and I adore watching my favorite team play.,Eu gosto muito jogar futebol e adoro assistir ao meu time favorito jogar.,
103,adorn,,"""decorar","adornar""",A1,,,Adorno,Decoração.,
104,adult,,adulto,A1,noun,,,I took my adult son to the park to play soccer on the weekend.,Levei meu filho de 18 anos ao parque no fim de semana para brincar futebol.,
105,advance,,avanÃ§ar,A1,,,,The company will advance the project next month.,A empresa avançará com o projeto no próximo mês.,
106,advantage,,vantagem,A1,,,,Having a good education is an advantage when looking for a job.,Ter uma boa educação é um benefício ao procurar um emprego.,
107,adventure,,aventura,A1,noun,,,She had a great time on her summer adventure to visit family and friends.,Ela teve um ótimo tempo na sua aventura de verão para visitar familiares e amigos.,
108,advertise,,anunciar,A1,verb,,,The company will advertise its new product on social media tomorrow.,A empresa vai publicar a novidade de um produto em redes sociais amanhã.,
110,advice,,conselho,A1,noun,,,My grandmother always gives good advice on how to cook traditional dishes.,Minha avó sempre dá boa orientação sobre como fazer pratos tradicionais.,
111,advise,,aconselhar,A1,verb,,,The teacher will advise the students on how to complete their homework.,O professor orientará os alunos sobre como concluir suas tarefas de casa.,
112,advocate,,"""defensor",A1,,,,The charity representative is an advocate for children's rights at the local government meeting.,O representante da caridade é um defensor dos direitos das crianças em reunião do governo local.,
114,affair,,"""afazeres",interesses [plural],,,,The local community center organizes a charity affair to raise money for the children's playground.,O centro comunitário local organiza uma festa de caridade para arrecadar fundos para o parque infantil.,
117,affirm,,afirmar,A1,verb,,,"I can help you with that! Here is a natural English example sentence that uses the exact word ""affirm"":","Eu posso te ajudar com isso! Aqui está um exemplo de frase em inglês que usa a palavra ""affirm"":",
118,afford,,proporcionar,A1,,,,The shopkeeper can afford to give discounts on big purchases.,O vendedor pode dar descontos em compras maiores.,
119,afraid,,com medo,A1,adjective,,,be afraid) Impressed with fear or apprehension,Estou assustado.,
122,after,,depois de,A1,preposition,,,She will meet me after school today.,Ela vai se encontrar comigo após a escola hoje.,
124,afterward(s),,"""depois",mais tarde,"posteriormente""",,,"She went to the party afterward(s), and then she met up with her friends at home.","""""Afterward(s)"""" significa """"depois"""" ou """"mais tarde"""". Ã‰ usado para falar sobre algo que acontece apÃ³s outra coisa.",
125,again,,"""de novo","outra vez""",A1,,,I made a mistake and forgot my homework again.,Esqueci meu trabalho de casa novamente.,
126,against,,contra,A1,preposition,,,She holds her ground against the strong wind.,Ela se mantém firme contra o vento forte.,
130,ago,,atrÃ¡s [tempo],A1,adjective,,,I haven't seen my old friend since I was a child ago.,Não vi meu velho amigo desde que era criança.,
131,agree,,concordar,A1,verb,,,or action,Ação.,
132,agreement,,acordo,A1,,,,The shopkeeper asked us to reach an agreement on the price before we could leave.,O vendedor pediu-nos que concordássemos num preço antes de sairmos.,
133,aggregate,,"""agregar",juntar,,,,The financial analyst will have to aggregate the company's sales data from each region before creating the quarterly report.,O analista financeiro terá que reunir os dados de vendas da empresa por cada região antes de criar o relatório trimestral.,
134,aggressive,,agressivo,A1,adjective,,,The dog was aggressive when it saw a stranger.,O cão era agressivo quando viu uma pessoa estranha.,
