word_id,old_english,old_portuguese,old_ipa,new_english,new_portuguese,new_ipa,reason
178,antes do meio-dia,æmətʃər,amateur,amateur,antes do meio-dia,æmətʃər,"rotate: english(pt), portuguese(ipa), ipa(en)"
657,passado de come,kæməl,camel,camel,passado de come,kæməl,"rotate: english(pt), portuguese(ipa), ipa(en)"
1262,uma casa,dɪnaɪəl,denial,denial,uma casa,dɪnaɪəl,"rotate: english(pt), portuguese(ipa), ipa(en)"
1448,passado de drink,dræstɪk,drastic,drastic,passado de drink,dræstɪk,"rotate: english(pt), portuguese(ipa), ipa(en)"
1566,enviar email,ɪmbɑ:rgo ʊ,embargo,embargo,enviar email,ɪmbɑ:rgo ʊ,"rotate: english(pt), portuguese(ipa), ipa(en)"
1827,para lecionar ou pesquisar em universidade,fɛləni,felony,felony,para lecionar ou pesquisar em universidade,fɛləni,"rotate: english(pt), portuguese(ipa), ipa(en)"
2212,pessoa que pratica um esporte muito mal,"hæd, həd",had,had,pessoa que pratica um esporte muito mal,"hæd, həd","rotate: english(pt), portuguese(ipa), ipa(en)"
2213,passado de have,heɪl,hail,hail,passado de have,heɪl,"rotate: english(pt), portuguese(ipa), ipa(en)"
2306,lua de mel,ɑ:n ər,honor,honor,lua de mel,ɑ:n ər,"rotate: english(pt), portuguese(ipa), ipa(en)"
2455,rede internacional de computadores,ɪntərprət,interpret,interpret,rede internacional de computadores,ɪntərprət,"rotate: english(pt), portuguese(ipa), ipa(en)"
2570,falta de,lædər,ladder,ladder,falta de,lædər,"rotate: english(pt), portuguese(ipa), ipa(en)"
2746,produtos de forma mais eficaz,mærɪdʒ,marriage,marriage,produtos de forma mais eficaz,mærɪdʒ,"rotate: english(pt), portuguese(ipa), ipa(en)"
2896,independente do status marital,mətʃ,much,much,independente do status marital,mətʃ,"rotate: english(pt), portuguese(ipa), ipa(en)"
3548,de produto,rɪsi:t,receipt,receipt,de produto,rɪsi:t,"rotate: english(pt), portuguese(ipa), ipa(en)"
4543,bater de leve,taɪər,tire,tire,bater de leve,taɪər,"rotate: english(pt), portuguese(ipa), ipa(en)"
4872,forma do subjuntivo de be,uɛst,west,west,forma do subjuntivo de be,uɛst,"rotate: english(pt), portuguese(ipa), ipa(en)"
4931,passado de withdraw,uɪthhoʊld,withhold,withhold,passado de withdraw,uɪthhoʊld,"rotate: english(pt), portuguese(ipa), ipa(en)"
51,respeito de,əbəv,above,above,respeito de,əbəv,"rotate: english(pt), portuguese(ipa), ipa(en)"
