english;ipa;portuguese;level;tags
floor;;chão, andar;A1;place
fridge;;geladeira;A1;object
board;;quadro;A1;education
chalk;;giz;A1;education
eraser;;apagador;A1;education
debit;;débito;A2;money
queue;;fila;A2;general
charger;;carregador;B1;tech
storage;;armazenamento;B1;tech
privacy;;privacidade;B1;general
allergy;;alergia;B1;health
approval;;aprovação;B2;work
rejection;;rejeição;B2;work
timeline;;cronograma;B2;work
deliverable;;entregável;B2;work
alignment;;alinhamento;B2;work
ownership;;responsabilidade;B2;work
governance;;governança;B2;work
prerequisite;;pré-requisito;C1;work
benchmark;;referência, parâmetro;C1;work
interoperability;;interoperabilidade;C2;tech
scalability;;escalabilidade;C2;tech
