english,ipa,portuguese,level,word_type,definition_en,definition_pt,example_en,example_pt,tags
hello,həˈloʊ,olá,A1,interjection,A greeting used when meeting someone,Uma saudação usada ao encontrar alguém,Hello! How are you today?,Olá! Como você está hoje?,greetings;basic;essential
goodbye,ɡʊdˈbaɪ,tchau,A1,interjection,A farewell expression,Uma expressão de despedida,Goodbye! See you tomorrow,Tchau! Te vejo amanhã,greetings;basic;essential
house,haʊs,casa,A1,noun,A building where people live,Um edifício onde as pessoas moram,This is my house,Esta é minha casa,places;home;basic
beautiful,ˈbjuːtɪfəl,bonito,A2,adjective,Pleasing to the senses or mind,Agradável aos sentidos ou à mente,She is beautiful,Ela é bonita,appearance;descriptive
amazing,əˈmeɪzɪŋ,incrível,A2,adjective,Causing great surprise or wonder,Causando grande surpresa ou admiração,This view is amazing!,Esta vista é incrível!,emotions;descriptive
understand,ˌʌndərˈstænd,entender,A2,verb,To comprehend the meaning,Compreender o significado,Do you understand me?,Você me entende?,communication;comprehension
important,ɪmˈpɔːrtənt,importante,B1,adjective,Of great significance or value,De grande significância ou valor,This is very important,Isso é muito importante,priority;relevance
although,ɔːlˈðoʊ,embora,B1,conjunction,Despite the fact that,Apesar do fato de que,Although it's raining I'll go out,Embora esteja chovendo vou sair,conjunctions;contrast
successful,səkˈsesfəl,bem-sucedido,B2,adjective,Achieving desired results,Alcançando resultados desejados,He is a successful businessman,Ele é um empresário bem-sucedido,achievement;business
nevertheless,ˌnevərðəˈles,não obstante,C1,adverb,In spite of that,Apesar disso,It's expensive; nevertheless I'll buy it,É caro; não obstante vou comprá-lo,conjunctions;formal
