id,english,portuguese,level,category,grammar_points
1,"Hello, my name is John.","Olá, meu nome é John.",A1,greetings,"[""present simple"", ""verb to be""]"
2,I am 25 years old.,Eu tenho 25 anos.,A1,personal_info,"[""verb to be"", ""numbers""]"
3,She lives in São Paulo.,Ela mora em São Paulo.,A1,daily_life,"[""present simple"", ""third person -s""]"
4,I usually wake up at 7 o'clock in the morning.,Eu normalmente acordo às 7 horas da manhã.,A2,daily_routine,"[""present simple"", ""frequency adverbs"", ""time expressions""]"
5,We are going to the beach this weekend.,Nós vamos à praia este fim de semana.,A2,plans,"[""present continuous for future"", ""prepositions of place""]"
6,"If I had more time, I would learn to play the guitar.","Se eu tivesse mais tempo, eu aprenderia a tocar violão.",B1,hypothetical,"[""second conditional"", ""past simple in if-clause"", ""would + infinitive""]"
7,I have been studying English for three years.,Eu estudo inglês há três anos.,B1,experience,"[""present perfect continuous"", ""duration with for""]"
8,She told me that she was feeling tired yesterday.,Ela me disse que estava se sentindo cansada ontem.,B1,reported_speech,"[""reported speech"", ""past continuous"", ""backshifting""]"
9,"Despite having studied hard, he didn't pass the exam.","Apesar de ter estudado muito, ele não passou no exame.",B2,contrast,"[""despite + gerund"", ""perfect aspect"", ""negative past simple""]"
10,"By the time we arrive, they will have already left.","Quando chegarmos, eles já terão partido.",B2,time_sequences,"[""future perfect"", ""time clauses with 'by the time'""]"
11,"Had I known about the traffic, I would have taken a different route.","Se eu soubesse sobre o trânsito, eu teria pegado uma rota diferente.",C1,regret,"[""third conditional"", ""inversion in conditionals"", ""past perfect""]"
12,"Not only did she finish the project on time, but she also exceeded expectations.","Ela não apenas terminou o projeto no prazo, mas também superou as expectativas.",C1,emphasis,"[""inversion after negative adverbials"", ""not only...but also""]"
13,"Notwithstanding the numerous obstacles, the team managed to deliver exceptional results.","Apesar dos inúmeros obstáculos, a equipe conseguiu entregar resultados excepcionais.",C2,formal,"[""formal connectors"", ""complex sentence structure""]"
14,"Can you say it again, please?","Você pode dizer isso de novo, por favor?",A1,conversation,"Modal verb 'can' for requests, question formation with auxiliaries"
15,Do you want to watch a movie?,Você quer assistir a um filme?,A1,leisure,Auxiliary 'do' for questions in present simple
16,Everything is ready.,Está tudo pronto.,A1,daily_life,Simple present with 'be'
17,Good idea.,Boa ideia.,A1,conversation,Adjectives before nouns
18,Good morning.,Bom dia.,A1,greetings,Basic greetings
19,Good night.,Boa noite.,A1,greetings,"Farewell expressions, difference between 'good night' and 'good evening'"
20,Sweet dreams.,Bons sonhos.,A1,greetings,Farewell expressions
21,He's coming soon.,Ele vai chegar em breve.,A2,daily_life,"Present continuous for future, contractions (he's)"
22,He's very famous.,Ele é muito famoso.,A2,description,"Verb 'to be' + adjective, intensifiers (very)"
23,How are you?,Como você está?,A1,greetings,Standard greeting question
24,How was your day?,Como foi seu dia?,A2,conversation,Past simple of 'be'
25,I don't know how to use it.,Eu não sei como usar isso.,A2,learning,"How to + infinitive, negative present simple"
26,I don't like it.,Eu não gosto disso.,A1,opinion,Negative present simple
27,I don't speak very well.,Eu não falo muito bem.,A2,abilities,Adverbs of manner (well)
28,I don't understand.,Eu não entendo.,A1,conversation,Negative present simple
29,I don't want that.,Eu não quero isso.,A1,conversation,Demonstrative 'that' for distant objects
30,I feel good.,Eu me sinto bem.,A2,feelings,Verb 'feel' + adjective
31,I get off of work at 5.,Eu saio do trabalho às 5.,B1,work,"Phrasal verb 'get off', time expressions"
32,I have to go to the supermarket.,Eu tenho que ir ao supermercado.,A2,daily_life,Modal 'have to' for obligation
33,I know.,Eu sei.,A1,conversation,Simple present without auxiliary
34,I like her.,Eu gosto dela.,A1,opinion,Object pronouns (her)
35,I need to go home.,Eu preciso ir para casa.,A2,daily_life,Need to + infinitive
36,I think it's very good.,Eu acho que é muito bom.,A2,opinion,Verb 'think' + clause
37,I'm feeling sick today.,Estou me sentindo mal hoje.,A2,health,"Present continuous for temporary states, 'sick' meanings"
38,"I'm fine, you?","Estou bem, e você?",A1,greetings,Short answers
39,I'm hungry.,Estou com fome.,A1,feelings,To be + adjective for physical states
40,I'm so pleased to meet you.,Estou muito feliz em te conhecer.,A2,greetings,"Intensifiers (so), pleased to + infinitive"
41,I'm taking a shower and going to bed.,Vou tomar banho e ir para a cama.,A2,daily_life,"Present continuous for near future, 'taking a shower' expression"
42,I'll call you when I leave.,Vou te ligar quando eu sair.,B1,communication,"Future simple, time clauses with 'when'"
43,I'll come back later.,Vou voltar mais tarde.,A2,daily_life,"Phrasal verb 'come back', future plans"
44,I'm cold.,Estou com frio.,A1,feelings,To be + adjective for physical sensations
45,I'm going to leave.,Eu vou sair.,A2,daily_life,Going to for future intentions
46,I'm happy.,Estou feliz.,A1,feelings,To be + adjective for emotions
47,I'm married.,Sou casado(a).,A1,personal_info,Marital status with 'be'
48,I'm not sure.,Não tenho certeza.,A2,conversation,Negative with 'be'
49,I'm running a little late.,Estou um pouco atrasado(a).,B1,daily_life,Expression 'running late'
50,I'm thirsty.,Estou com sede.,A1,feelings,To be + adjective for physical needs
51,I'm very busy.,Estou muito ocupado(a).,A2,daily_life,Intensifiers with adjectives
52,It's good to have you here!,É bom ter você aqui!,A2,greetings,It's + adjective + to infinitive
53,It's good to see you again!,É bom te ver de novo!,A2,greetings,See you again expression
54,Just a little.,Só um pouco.,A2,conversation,Quantifiers (a little)
55,Nice to meet you.,Prazer em te conhecer.,A1,greetings,First meeting expressions
56,"Please, call me.","Por favor, me ligue.",A1,communication,Imperative for requests
57,That's a good question.,Essa é uma boa pergunta.,A2,conversation,Demonstrative 'that'
58,What a nice day.,Que dia agradável.,A2,conversation,Exclamations with 'what'
59,What day is it today?,Que dia é hoje?,A1,time,"Question with 'what', time expressions"
60,What time is it?,Que horas são?,A1,time,Asking for time
61,What's for breakfast today?,O que tem para o café da manhã hoje?,A2,food,What's for + meal
62,You doing ok?,Você está bem?,A2,greetings,Informal question without auxiliary
63,Are you awake?,Você está acordado(a)?,A2,daily_life,To be + adjective (awake)
64,"I didn't sleep very well, I had a bad dream.","Eu não dormi muito bem, tive um pesadelo.",B1,daily_life,"Past simple negative, irregular verbs (sleep, have)"
65,How was school today?,Como foi a escola hoje?,A2,education,Past simple questions
66,I took an exam and did well.,Eu fiz uma prova e fui bem.,B1,education,"Past simple, phrasal verb 'do well'"
67,"Could you set the table, please?","Você pode arrumar a mesa, por favor?",A2,daily_life,"Modal 'could' for polite requests, expression 'set the table'"
68,Is lunch ready?,O almoço está pronto?,A1,food,To be + adjective
69,Do you want some water?,Você quer um pouco de água?,A1,food,Some in offers
70,Could you help me wash the dishes?,Você pode me ajudar a lavar a louça?,A2,daily_life,Help + object + infinitive
71,It's too hot today!,Está muito quente hoje!,A2,weather,Too + adjective (excess)
72,Would you like to come over and play some videogame?,Você gostaria de vir jogar videogame?,B1,leisure,"Would you like + infinitive, phrasal verb 'come over'"
73,Can you switch the light on?,Você pode acender a luz?,A2,daily_life,Phrasal verb 'switch on' (synonym of 'turn on')
74,What would you like to do this evening?,O que você gostaria de fazer esta noite?,B1,leisure,Would like to + infinitive
75,Have you fed the dog?,Você alimentou o cachorro?,B1,daily_life,"Present perfect, irregular verb 'feed-fed-fed'"
76,I'll be in my room.,Vou estar no meu quarto.,A2,daily_life,Future simple with 'will'
77,Is there anything good on tv?,Tem algo bom na tv?,A2,leisure,There is/are for existence
78,Are you up to anything this evening?,Você vai fazer algo esta noite?,B1,conversation,Expression 'up to' (planning to do)
